2021-06-16 20:00:01 | /errorHandler.js(33) | oGgdZvQg8cexgDc51y0vizBVpgWDBzrM | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-04","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:00:29 | /errorHandler.js(33) | ZHdPBMTnuKOeRE8zbPl2W01N4vIyokKb | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-06","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:00:30 | /errorHandler.js(33) | hVW4hDyKz7lcV2722w2hbc8reUinA9Eo | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-24","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:00:32 | /errorHandler.js(33) | v3hjC1xCqeLgOVfbh3dNdMyUkoDS1r1W | [info] | IP - ::ffff:10.0.3.157 | clientIP - ::ffff:10.0.3.157 | User :  | URL : http://10.0.3.78:2001/health | GET | Request : {}
2021-06-16 20:00:32 | /errorHandler.js(33) | ueBDEQqnSUdEfKSsoP4ByX4nOEmYbuJR | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-23","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:00:34 | /errorHandler.js(33) | hJfa0wkCiWoXZsJTEhkn0Jjd2sVn7iZn | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-19","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:00:37 | /errorHandler.js(33) | QzHMqxa3x0wNUMqMdRTHNBEIV7quBkF6 | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-18","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:00:45 | /errorHandler.js(33) | f0jYXILvIkO85Zcs8RmRJ10ZpY9fIS0A | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-18","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:00:46 | /errorHandler.js(33) | j7ssHngjoK0sbo2YmDWiRQ5f0Q0UfSrZ | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-22","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:00:46 | /errorHandler.js(33) | qL8IEBzHeHDCbFaX176sjqIqLCqPsGQw | [info] | IP - ::ffff:10.0.3.157 | clientIP - ::ffff:10.0.3.157 | User :  | URL : http://10.0.3.78:2001/health | GET | Request : {}
2021-06-16 20:00:51 | /errorHandler.js(33) | aOgLVa5jLAIfVSXR06UZKPH7ngWbRmqa | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-20","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:00:51 | /errorHandler.js(33) | 8oHutlkt21Nn5O09HsCsiGBJrbJMOM2r | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-24","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:00:52 | /errorHandler.js(33) | YpI2CPjHr5QHxmCvsZkwkY0D1rNDBORI | [info] | IP - ::ffff:10.0.3.157 | clientIP - ::ffff:10.0.3.157 | User :  | URL : http://10.0.3.78:2001/health | GET | Request : {}
2021-06-16 20:00:56 | /errorHandler.js(33) | 0kjYXxLfMZ03kL7QAL7xdkWpQ5kvgLEz | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-19","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:01:00 | /errorHandler.js(33) | DWe5Hd1IB8StbM0YQqpAn2AlEZ2oTish | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-22","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:01:02 | /errorHandler.js(33) | 9qFT8pgYPePMCiPaSy1OUAq91sNQrIjs | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-16","clinicId":""}
2021-06-16 20:01:06 | /errorHandler.js(33) | BvWQWYlVxA80SjRUUdyCsfEoBWZzc1nE | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-21","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:01:06 | /errorHandler.js(33) | 3yvuqjW1DxGXaulCAWBmIZnxrqzKttha | [info] | IP - ::ffff:10.0.3.157 | clientIP - ::ffff:10.0.3.157 | User :  | URL : http://10.0.3.78:2001/health | GET | Request : {}
2021-06-16 20:01:10 | /errorHandler.js(33) | 0EB35NDB04Tl4TJi3GVF8ZJOMHlxAf6e | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-22","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:01:12 | /errorHandler.js(33) | M0QjahNzvivWMeKvfgHS44l7ITyKsch4 | [info] | IP - ::ffff:10.0.3.157 | clientIP - ::ffff:10.0.3.157 | User :  | URL : http://10.0.3.78:2001/health | GET | Request : {}
2021-06-16 20:01:13 | /errorHandler.js(33) | frUr5smCcY9qMqxfnb5aLZpAFwgk410C | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-22","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:01:13 | /errorHandler.js(33) | 3qumnuVE6gVF7dgbmEpR1XAZnXm0cntp | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | User : {"_id":"60a91ff3d75ece001ffffd3c","email":"vaccine2@embassy.com","role":"FRONT_DESK","clinicId":["60a6994c58b1f5001fcaf9d9","609be7f8f132c1001fb007c4","60be41543dc5a9001f5c1f67"],"firstName":"Vaccine 2","lastName":"Registration","iat":1623875430,"exp":1623889830} | URL : http://apis.mdnius.com/api/v1/public/getActualArrivals?page=1&size=10&search=3137 | GET | Request : {"page":"1","size":"10","search":"3137","clinicId":["60a6994c58b1f5001fcaf9d9","609be7f8f132c1001fb007c4","60be41543dc5a9001f5c1f67"]}
2021-06-16 20:01:14 | /errorHandler.js(33) | cjLsnk5TrV1kVQAOPDFPIalnUhVFoSpE | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | User : {"_id":"60a91ff3d75ece001ffffd3c","email":"vaccine2@embassy.com","role":"FRONT_DESK","clinicId":["60a6994c58b1f5001fcaf9d9","609be7f8f132c1001fb007c4","60be41543dc5a9001f5c1f67"],"firstName":"Vaccine 2","lastName":"Registration","iat":1623885795,"exp":1623900195} | URL : http://apis.mdnius.com/api/v1/public/getActualArrivals?page=1&size=10&appointmentDateStart=2021-06-16&appointmentDateEnd=2021-06-16&search=6790 | GET | Request : {"page":"1","size":"10","appointmentDateStart":"2021-06-16","appointmentDateEnd":"2021-06-16","search":"6790","clinicId":["60a6994c58b1f5001fcaf9d9","609be7f8f132c1001fb007c4","60be41543dc5a9001f5c1f67"]}
2021-06-16 20:01:16 | /errorHandler.js(33) | RG6F56WSd0ezHDTSir4E0WWV4sYlwVls | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-24","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:01:21 | /errorHandler.js(33) | Z6BEguMelzCLGnPlJDKYK2vMiTstgNPs | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-21","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:01:22 | /errorHandler.js(33) | TsDoe1IuB5N558g9f8C9X1I7KS0in2e7 | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | User : {"_id":"60a91ff3d75ece001ffffd3c","email":"vaccine2@embassy.com","role":"FRONT_DESK","clinicId":["60a6994c58b1f5001fcaf9d9","609be7f8f132c1001fb007c4","60be41543dc5a9001f5c1f67"],"firstName":"Vaccine 2","lastName":"Registration","iat":1623875430,"exp":1623889830} | URL : http://apis.mdnius.com/api/v1/public/getPatientAnswer/60ca878b8b7f87001fab5eb9 | GET | Request : {}
2021-06-16 20:01:23 | /errorHandler.js(33) | rjicIfrm9iD7UWQZqgwkgzckY0uEgfvC | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-18","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:01:23 | /errorHandler.js(33) | 4ysFuCEuoUHWArO0E9sDtWFUP3ixXcev | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-20","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:01:26 | /errorHandler.js(33) | teHks4uFdSsgZ9FXVTPCm945fkFELCNv | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-17","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:01:26 | /errorHandler.js(33) | 56xhCd2MEYDAUfrHhAhfZ1jxNaaad9uo | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | User : {"_id":"60a91ff3d75ece001ffffd3c","email":"vaccine2@embassy.com","role":"FRONT_DESK","clinicId":["60a6994c58b1f5001fcaf9d9","609be7f8f132c1001fb007c4","60be41543dc5a9001f5c1f67"],"firstName":"Vaccine 2","lastName":"Registration","iat":1623885795,"exp":1623900195} | URL : http://apis.mdnius.com/api/v1/public/getActualArrivals?page=1&size=10&appointmentDateStart=2021-06-16&appointmentDateEnd=2021-06-16 | GET | Request : {"page":"1","size":"10","appointmentDateStart":"2021-06-16","appointmentDateEnd":"2021-06-16","clinicId":["60a6994c58b1f5001fcaf9d9","609be7f8f132c1001fb007c4","60be41543dc5a9001f5c1f67"]}
2021-06-16 20:01:26 | /errorHandler.js(33) | 4F8SKIpY0B7BaDfzYG1UsCbJuPGpypdn | [info] | IP - ::ffff:10.0.3.157 | clientIP - ::ffff:10.0.3.157 | User :  | URL : http://10.0.3.78:2001/health | GET | Request : {}
2021-06-16 20:01:29 | /errorHandler.js(33) | EGDC1JH1ABh1tjQBfm7MbYmFGiy54fgG | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-24","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:01:31 | /errorHandler.js(33) | I64UF8OKBOHeuPn8WzFEbbVoJty0sJNb | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-25","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:01:32 | /errorHandler.js(33) | lnuy6MOmwqQTUA7Iabp2h2z7fC1JpQBD | [info] | IP - ::ffff:10.0.3.157 | clientIP - ::ffff:10.0.3.157 | User :  | URL : http://10.0.3.78:2001/health | GET | Request : {}
2021-06-16 20:01:38 | /errorHandler.js(33) | f7ccvehW3naXbdFhz6rZHNUt7jsAQ4Ea | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-18","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:01:39 | /errorHandler.js(33) | a9TVkvsTuHRVciqg8UfPGtgxM4pdbUyD | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-30","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:01:41 | /errorHandler.js(33) | WNJBcFoYgt8sdPynrLHgI6mPnZ2PhP91 | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-17","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:01:43 | /errorHandler.js(33) | bsZU0SwXo9eqtB88VyF1pPy8Ykp3d0tc | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | User : {"_id":"6075a7c6051a62001fda113d","email":"results3@embassy.com","role":"FRONT_DESK","clinicId":["609be7f8f132c1001fb007c4","606dbee6c91bc90021d1c838","601cfbcc0762a2413728ddc6","608b11f922c9cd001fea802e","6065d3043717ba001fc032be"],"firstName":"Results","lastName":"Laptop3","iat":1623884330,"exp":1623898730} | URL : http://apis.mdnius.com/api/v1/public/getWaiting?page=1&size=10&search=6478312327 | GET | Request : {"page":"1","size":"10","search":"6478312327","clinicId":["609be7f8f132c1001fb007c4","606dbee6c91bc90021d1c838","601cfbcc0762a2413728ddc6","608b11f922c9cd001fea802e","6065d3043717ba001fc032be"]}
2021-06-16 20:01:43 | /errorHandler.js(33) | fgBI830RDfo68beMxz2wNSV9ueMqH8k8 | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-02","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:01:45 | /errorHandler.js(33) | g1vGCqmji2KXRKJVwbWG9gsooGQudHqM | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-18","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:01:46 | /errorHandler.js(33) | zMMeqM3GIC3VGE9adWXUBzmVUHqkQyVR | [info] | IP - ::ffff:10.0.3.157 | clientIP - ::ffff:10.0.3.157 | User :  | URL : http://10.0.3.78:2001/health | GET | Request : {}
2021-06-16 20:01:49 | /errorHandler.js(33) | IxhdRcvaWLkGShQFxZCnMLzODtmAQMek | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2022-06-01","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:01:52 | /errorHandler.js(33) | y39mxpCXtPUuVRYXInSqK3Gxa6anPYYO | [info] | IP - ::ffff:10.0.3.157 | clientIP - ::ffff:10.0.3.157 | User :  | URL : http://10.0.3.78:2001/health | GET | Request : {}
2021-06-16 20:01:53 | /errorHandler.js(33) | DR9F5svXXKsGzuu5uJTSGnzOJ01UFptx | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-17","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:01:56 | /errorHandler.js(33) | 0g2FLOEnQMzfgts00YYZhRTNeQUL3uQZ | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | User : {"_id":"60b25e4ad75ece001ffffd48","email":"shireen@embassy.com","role":"FRONT_DESK","clinicId":["60a6994c58b1f5001fcaf9d9","601cfbcc0762a2413728ddc6","6065d3043717ba001fc032be","609be7f8f132c1001fb007c4","60be41543dc5a9001f5c1f67"],"firstName":"Shireen","lastName":"Gill","iat":1623884766,"exp":1623899166} | URL : http://apis.mdnius.com/api/v1/public/getActualArrivals?page=1&size=10 | GET | Request : {"page":"1","size":"10","clinicId":["60a6994c58b1f5001fcaf9d9","601cfbcc0762a2413728ddc6","6065d3043717ba001fc032be","609be7f8f132c1001fb007c4","60be41543dc5a9001f5c1f67"]}
2021-06-16 20:01:56 | /errorHandler.js(33) | 0g2FLOEnQMzfgts00YYZhRTNeQUL3uQZ | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | User : {"_id":"6075a7c6051a62001fda113d","email":"results3@embassy.com","role":"FRONT_DESK","clinicId":["609be7f8f132c1001fb007c4","606dbee6c91bc90021d1c838","601cfbcc0762a2413728ddc6","608b11f922c9cd001fea802e","6065d3043717ba001fc032be"],"firstName":"Results","lastName":"Laptop3","iat":1623884330,"exp":1623898730} | URL : http://apis.mdnius.com/api/v1/public/getActualArrivals?page=1&size=10&search=647844 | GET | Request : {"page":"1","size":"10","search":"647844","clinicId":["609be7f8f132c1001fb007c4","606dbee6c91bc90021d1c838","601cfbcc0762a2413728ddc6","608b11f922c9cd001fea802e","6065d3043717ba001fc032be"]}
2021-06-16 20:01:57 | /errorHandler.js(33) | lr674wQJ7Ob8xCZNr0dDYxa1TyxDl03A | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-17","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:01:59 | /errorHandler.js(33) | eS08CJJpV4zobALNbhgprjNVs3WcWSwk | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | User : {"_id":"6075a7c6051a62001fda113d","email":"results3@embassy.com","role":"FRONT_DESK","clinicId":["609be7f8f132c1001fb007c4","606dbee6c91bc90021d1c838","601cfbcc0762a2413728ddc6","608b11f922c9cd001fea802e","6065d3043717ba001fc032be"],"firstName":"Results","lastName":"Laptop3","iat":1623884330,"exp":1623898730} | URL : http://apis.mdnius.com/api/v1/public/getConfirmedBookings?page=1&size=10&search=647844010 | GET | Request : {"page":"1","size":"10","search":"647844010","clinicId":["609be7f8f132c1001fb007c4","606dbee6c91bc90021d1c838","601cfbcc0762a2413728ddc6","608b11f922c9cd001fea802e","6065d3043717ba001fc032be"]}
2021-06-16 20:02:00 | /errorHandler.js(33) | 7JYJHJV5M9u9KPU7U6wJP5CpHgu8lL5T | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | User : {"_id":"60b25e4ad75ece001ffffd48","email":"shireen@embassy.com","role":"FRONT_DESK","clinicId":["60a6994c58b1f5001fcaf9d9","601cfbcc0762a2413728ddc6","6065d3043717ba001fc032be","609be7f8f132c1001fb007c4","60be41543dc5a9001f5c1f67"],"firstName":"Shireen","lastName":"Gill","iat":1623884766,"exp":1623899166} | URL : http://apis.mdnius.com/api/v1/public/getActualArrivals?page=1&size=10 | GET | Request : {"page":"1","size":"10","clinicId":["60a6994c58b1f5001fcaf9d9","601cfbcc0762a2413728ddc6","6065d3043717ba001fc032be","609be7f8f132c1001fb007c4","60be41543dc5a9001f5c1f67"]}
2021-06-16 20:02:04 | /errorHandler.js(33) | rel1xagN2UcdIV8cKSeA3h8i0j7r8lOZ | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-30","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:02:05 | /errorHandler.js(33) | S0Iehh6bkTUEwfPgoihYl5JfRxCuN2QE | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-26","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:02:06 | /errorHandler.js(33) | fTQL7iRVbQxQYLxLH1zl4qTqsREnEzNl | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-18","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:02:06 | /errorHandler.js(33) | kxaHcpIVDXx4Vwg4Zti1eY1meUVTMeYJ | [info] | IP - ::ffff:10.0.3.157 | clientIP - ::ffff:10.0.3.157 | User :  | URL : http://10.0.3.78:2001/health | GET | Request : {}
2021-06-16 20:02:08 | /errorHandler.js(33) | kBXkf0oCsF5qy9d38VlQ3RZIjbikycHt | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-26","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:02:11 | /errorHandler.js(33) | EEd4BU38ArpPxwlrMXhoPKd0gtwj6hYf | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-18","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:02:12 | /errorHandler.js(33) | GIKtotbgGgoemBuMooo8YiKaokrLQWf2 | [info] | IP - ::ffff:10.0.3.157 | clientIP - ::ffff:10.0.3.157 | User :  | URL : http://10.0.3.78:2001/health | GET | Request : {}
2021-06-16 20:02:13 | /errorHandler.js(33) | iAi5sUYT9jpvmtGwgdJcNr0srGvYtYka | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | User : {"_id":"60a91ff3d75ece001ffffd3c","email":"vaccine2@embassy.com","role":"FRONT_DESK","clinicId":["60a6994c58b1f5001fcaf9d9","609be7f8f132c1001fb007c4","60be41543dc5a9001f5c1f67"],"firstName":"Vaccine 2","lastName":"Registration","iat":1623875430,"exp":1623889830} | URL : http://apis.mdnius.com/api/v1/public/getActualArrivals?page=1&size=10 | GET | Request : {"page":"1","size":"10","clinicId":["60a6994c58b1f5001fcaf9d9","609be7f8f132c1001fb007c4","60be41543dc5a9001f5c1f67"]}
2021-06-16 20:02:13 | /errorHandler.js(33) | iAi5sUYT9jpvmtGwgdJcNr0srGvYtYka | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-27","clinicId":"609be7f8f132c1001fb007c4"}
2021-06-16 20:02:14 | /errorHandler.js(33) | k3CILdSPSh8RtK5dKqSCUhRsiZbiQoSl | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-06-21","clinicId":"609be7f8f132c1001fb007c4"}
